Model,MAE,RMSE,R2
XGBoost,0.6619440576544514,1.0379690443545526,0.48828506268501876
Random Forest,0.6856480373290306,1.0936069276016163,0.42745319246871766
Ridge Regression,0.786367675409212,1.0836044977033839,0.4393435844726663
